Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,7927915,585273.6264,54707,44598.641,94431850,3.94
xlQ99tsv74A,Water Leaking From Freezer – Solved!,"Jul 27, 2020",997845,32192.966,2386,6924.054,16623868,2.63
0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",263891,12173.312,589,2250.108,1318451,7.89
Rhy82gY2caE,Using an iPad as a Second Laptop Monitor Via Duet Display,"Nov 27, 2018",240937,13265.4836,246,1057.232,2495045,5.22
OUwfE_-tcfo,3D Plotting in Matlab,"Oct 19, 2018",219432,17500.1359,1632,756.232,3939495,3.16
m7c45On2eYk,Getting Started with Blender for Video Editing,"Nov 14, 2019",215850,23585.1168,2934,875.59,3177011,2.97
HgjZ21uv4lc,Garmin vivomove HR Unboxing and Setup,"Dec 27, 2018",175727,9040.9261,148,798.891,1413719,7.95
Pl9JZUrEWrQ,Ford Transit 15 Passenger Van Overview,"Oct 1, 2019",169061,11730.0497,509,2047.953,1043598,6.99
sF_sjFqNFUk,Interacting with a Simulink Model from a Matlab Script,"Oct 14, 2018",162401,15085.2935,1487,527.469,2306234,3.86
gDmpqn92s5U,2D Plotting in Matlab,"Oct 6, 2018",157788,10340.5361,1165,512.258,1914896,5.28
Yvgxx2vwsRY,Getting Started with Perforce and P4V,"Dec 22, 2017",145411,11699.3975,323,811.946,651070,8.57
n829SwSUZ_c,Designing a PID Controller Using the Ziegler-Nichols Method,"May 20, 2019",134347,12820.7734,1913,474.225,1673407,3.98
mXFDAz3S9Uk,Getting Started with Mathematica,"Sep 28, 2018",120792,12209.4047,1057,369.623,1417660,5.17
wb3Dq4NM3QY,Using a Memory Saver When Disconnecting Your Car Battery,"Oct 15, 2019",118880,5409.535,218,779.273,644710,6
Z_V93Ex2VFc,Seating in a 15 Passenger Ford Transit Van/Wagon: Details and Removing Rear Seats,"Oct 15, 2019",118661,13448.03,625,1632.022,1295021,4.08
3AhuzamWqqs,Garage Door Motor Not Working – Solved!,"Jan 24, 2022",113877,5789.8547,226,1273.384,1044655,7.53
ZBafH5fss1E,Working with Matrices in Matlab,"Oct 4, 2018",112672,8841.1591,859,562.914,1397221,5.08
wEevt2a4SKI,Introduction to Linear Quadratic Regulator (LQR) Control,"Dec 3, 2018",109865,17051.3007,2288,585.951,1299914,3.56
wzV69AfLUBg,Refill Inkjet Printer Cartridges,"May 16, 2022",105692,8568.4811,292,751.005,1639696,3.7
3I1_5M7Okqo,Creating Movies and Animations in Matlab,"Nov 5, 2018",104510,7944.776,1168,331.283,1267400,4.48
okP4Emly7eg,HDMI Output and USB Input on Your Phone,"Feb 22, 2021",99474,5690.9418,507,558.251,851186,5.13
RLWe8dZeuEs,Automatic Cross References in Microsoft Word,"Aug 28, 2018",90228,7134.3311,378,606.482,1165651,4.35
Hk6YBO_A_PU,Designing a PID Controller Using the Root Locus Method,"May 21, 2019",77265,9662.9377,1089,232.743,1028445,3.45
vOVvPd4cC2Q,Reset Power Window Limits on a Ford Vehicle,"Jan 10, 2022",76653,1734.2833,68,363.878,215436,8.96
_5_LK_0H22I,Basic Operations with Perforce,"Dec 22, 2017",76346,6502.7626,172,322.715,544945,8.06
IAut5Y-Ns7g,Derivation of the 1D Wave Equation,"Nov 12, 2018",74954,6568.4662,1182,243.263,714886,5.79
8NQ1h0gGgX8,Getting Started with the Matlab Support Package for Arduino Hardware,"Sep 20, 2018",72828,4211.9103,474,146.338,589703,7.49
okaxKzoyMK0,Coriolis Effect Demonstration (with Drones),"Jan 7, 2019",68934,5545.5921,1060,287.94,1062563,3.79
nOz3uTi20Jo,Getting Started with the Simulink Support Package for Arduino Hardware,"Sep 25, 2018",67991,4584.336,470,126.106,619384,6.28
Cvu2zWk3gYw,Ordinary Differential Equations and Dynamic Systems in Simulink,"Oct 1, 2018",65965,6494.4644,672,272.577,946816,3.81
THjaxvPBGOU,Introduction to Partial Differential Equations,"Nov 11, 2018",64540,6065.8623,1303,301.211,618784,4.99
4zXO2ooYl4Y,Signatures in Microsoft Outlook Are Not Working,"Nov 12, 2018",62744,2306.8566,76,625.062,328194,7.15
lMRnTd8yLeY,Solving the 1D Wave Equation,"Nov 13, 2018",58105,9819.8529,574,307.906,759876,3.87
Uh_-RZQIaEs,Transfer Functions: Introduction and Implementation,"Apr 8, 2019",57815,4660.7703,984,209.737,416580,3.61
j-utznrXmcY,2D Plotting in Mathematica,"Oct 22, 2018",53994,3430.3697,325,222.484,475476,6.22
qCgqYNhmmDE,Getting Started with LaTeX,"Sep 17, 2018",52621,4498.2073,248,178.102,850864,3.69
uWQKSIuYAko,Create an Automatic Bibliography in Microsoft Word,"Sep 5, 2018",52487,3995.3807,214,201.251,402576,5.66
J5jjCtIT9_8,Run a Microwave in Your Car/Van/RV Using a 12V Battery,"Aug 3, 2020",49790,3779.7506,237,530.422,388080,5.36
cw7adeD1yeg,Installing Mission Planner,"Sep 2, 2018",49706,1935.7662,214,90.946,186450,9.64
Gzlk6MKGHrg,"Using Blender to Add Images, Text, and Sounds to Video Clips","Feb 1, 2020",48626,3620.5771,558,180.12,630808,4.07
0wuU-7BmtVE,Blender for Video Editing: Video Transitions,"Jun 6, 2020",48404,2735.252,309,196.079,430271,4.81
RPzFLzKkQGs,Using the Control System Designer in Matlab,"May 18, 2019",48074,5658.9122,752,166.871,680453,3.59
GpA6u3KR7EQ,Haul-Master Motorcycle Carrier from Harbor Freight,"Nov 2, 2020",47920,6696.1753,96,643.239,478702,4.45
veK-LVRTHpo,Installing and Using Various Hitch Anti-Rattle Mechanisms,"Jul 20, 2020",47643,3345.2412,119,442.538,391934,5.93
182m2cSyuUs,Working with Matrices in Mathematica,"Oct 3, 2018",45222,3602.9597,326,200.031,426678,6.13
_M0mOHn0ink,Getting Started with Matlab,"Sep 13, 2018",44453,3289.4276,569,140.397,350376,3.6
09fxpbnItQ8,Eagle Peak Trail in Mt. Rainier National Park,"Aug 16, 2021",43062,404.6869,19,18.609,48419,0.96
FLQXW6G9P8I,"Cartesian, Polar, Cylindrical, and Spherical Coordinates","Oct 21, 2019",41643,3855.385,608,155.947,503957,4.56
f7nODvpmCHw,3D Printing Using Fusion 360 and Cura,"Dec 31, 2019",41419,1300.778,265,183.91,246512,7.99
XsaSySuIDOw,Programming and Deleting Channels on a Baofeng BF-F8HP Radio,"Feb 8, 2020",40935,2381.783,265,325.663,285310,3.25
GJBc6z6p0KQ,Euler Angles and the Euler Rotation Sequence,"Apr 1, 2020",40664,5152.0419,558,183.017,510541,3.8
66Up4bJpR80,Clock Frozen and Cannot Set Time on a Ford Vehicle,"Nov 18, 2019",40263,1152.8162,82,383.569,170461,3.93
of8Gc_mE3ic,"DIY Roof Rack: Design, Construction, and Field Testing","Jan 30, 2020",40245,4580.4774,307,325.793,565001,3.37
yEk_j0E4mdw,"Peloton Bike: Purchase, Assembly/Disassembly, Setup, and First Impressions","Oct 4, 2021",39538,1756.4264,37,573.715,137779,9.44
