Date,Content,Video title,Video publish time,Views
2010-09-01,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-02,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-03,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-04,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-05,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-06,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-07,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-08,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-09,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-10,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-11,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-12,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-13,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-14,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-15,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-16,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-17,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-18,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-19,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-20,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-21,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-22,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-23,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-24,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-25,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-26,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-27,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-28,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-29,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-09-30,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-01,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-02,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-03,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-04,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-05,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-06,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
2010-10-07,0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",0
