Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,10606737,758080.2981,70372,61064.236,120491932,4.06
xlQ99tsv74A,Water Leaking From Freezer – Solved!,"Jul 27, 2020",1237017,40765.549,2821,8674.234,17826398,2.84
0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",370169,17307.2677,767,3114.874,1696431,8.23
3AhuzamWqqs,Garage Door Motor Not Working – Solved!,"Jan 24, 2022",291126,14144.1433,535,3059.133,2639847,7.13
Pl9JZUrEWrQ,Ford Transit 15 Passenger Van Overview,"Oct 1, 2019",191109,12979.3476,569,2383.863,1184606,6.72
Z_V93Ex2VFc,Seating in a 15 Passenger Ford Transit Van/Wagon: Details and Removing Rear Seats,"Oct 15, 2019",139430,15214.8228,701,1861.566,1455058,4.16
wzV69AfLUBg,Refill Inkjet Printer Cartridges,"May 16, 2022",214207,16830.9761,592,1797.974,2824992,4.24
okP4Emly7eg,HDMI Output and USB Input on Your Phone,"Feb 22, 2021",224600,13358.8023,1173,1359.206,2308745,4.78
Rhy82gY2caE,Using an iPad as a Second Laptop Monitor Via Duet Display,"Nov 27, 2018",243512,13358.8455,247,1076.392,2516590,5.19
wb3Dq4NM3QY,Using a Memory Saver When Disconnecting Your Car Battery,"Oct 15, 2019",166479,7451.1077,274,1016.489,937888,5.94
m7c45On2eYk,Getting Started with Blender for Video Editing,"Nov 14, 2019",234209,25009.4711,3124,931.986,3326374,2.97
Yvgxx2vwsRY,Getting Started with Perforce and P4V,"Dec 22, 2017",160798,12663.2684,354,881.715,708803,8.32
okaxKzoyMK0,Coriolis Effect Demonstration (with Drones),"Jan 7, 2019",275579,19356.046,2960,865.972,5447522,3.8
iAVNF-1MPoE,Refillable 1 Pound Propane Bottles,"Jul 5, 2021",56065,9664.2551,286,855.442,667024,3.89
GpA6u3KR7EQ,Haul-Master Motorcycle Carrier from Harbor Freight,"Nov 2, 2020",61855,8430.713,111,839.254,594422,4.63
OUwfE_-tcfo,3D Plotting in Matlab,"Oct 19, 2018",238971,18977.4163,1790,835.359,4309958,3.15
HgjZ21uv4lc,Garmin vivomove HR Unboxing and Setup,"Dec 27, 2018",180965,9257.9487,157,830.073,1448223,7.99
yEk_j0E4mdw,"Peloton Bike: Purchase, Assembly/Disassembly, Setup, and First Impressions","Oct 4, 2021",62138,2684.3513,59,794.354,194711,10.01
vOVvPd4cC2Q,Reset Power Window Limits on a Ford Vehicle,"Jan 10, 2022",149209,3304.0705,112,726.805,379063,8.78
wEevt2a4SKI,Introduction to Linear Quadratic Regulator (LQR) Control,"Dec 3, 2018",128880,19496.1325,2600,688.6,1492558,3.62
RLWe8dZeuEs,Automatic Cross References in Microsoft Word,"Aug 28, 2018",100376,7770.6528,416,679.297,1286361,4.23
ZBafH5fss1E,Working with Matrices in Matlab,"Oct 4, 2018",127351,10036.8164,980,654.764,1564788,5.09
4zXO2ooYl4Y,Signatures in Microsoft Outlook Are Not Working,"Nov 12, 2018",65160,2377.6035,77,640.781,335988,7.06
J5jjCtIT9_8,Run a Microwave in Your Car/Van/RV Using a 12V Battery,"Aug 3, 2020",59942,4452.8594,269,623.522,454116,5.46
sF_sjFqNFUk,Interacting with a Simulink Model from a Matlab Script,"Oct 14, 2018",184808,16940.9854,1671,596.894,2630600,3.78
n829SwSUZ_c,Designing a PID Controller Using the Ziegler-Nichols Method,"May 20, 2019",160774,14973.9461,2235,576.973,2013319,4.01
veK-LVRTHpo,Installing and Using Various Hitch Anti-Rattle Mechanisms,"Jul 20, 2020",62131,4255.3128,147,576.761,490763,5.84
gDmpqn92s5U,2D Plotting in Matlab,"Oct 6, 2018",168584,11066.5995,1266,559.366,2098928,5.12
7y5rTbPWRRQ,How to Install DJI Fly on iOS and Android,"May 23, 2022",79880,3385.6478,194,492.439,501831,10.5
