Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,10094506,726036.7417,67371,57666.063,116132409,4.03
xlQ99tsv74A,Water Leaking From Freezer – Solved!,"Jul 27, 2020",1178338,38700.1127,2715,8254.029,17530001,2.79
0SsDbT-J8cU,Removing the Battery on a Ford Transit,"Oct 15, 2019",350648,16350.9671,729,2943.405,1634799,8.13
okaxKzoyMK0,Coriolis Effect Demonstration (with Drones),"Jan 7, 2019",270598,18938.1951,2877,843.522,5366343,3.8
3AhuzamWqqs,Garage Door Motor Not Working – Solved!,"Jan 24, 2022",249336,12198.4073,462,2649.714,2261712,7.14
Rhy82gY2caE,Using an iPad as a Second Laptop Monitor Via Duet Display,"Nov 27, 2018",243147,13347.8208,247,1073.389,2513254,5.19
OUwfE_-tcfo,3D Plotting in Matlab,"Oct 19, 2018",236440,18767.6922,1764,827.417,4262333,3.15
m7c45On2eYk,Getting Started with Blender for Video Editing,"Nov 14, 2019",231637,24833.1077,3108,925.899,3303693,2.97
wzV69AfLUBg,Refill Inkjet Printer Cartridges,"May 16, 2022",197567,15596.8,543,1629,2665162,4.16
okP4Emly7eg,HDMI Output and USB Input on Your Phone,"Feb 22, 2021",192062,11391.4059,1000,1155.043,1897881,4.92
Pl9JZUrEWrQ,Ford Transit 15 Passenger Van Overview,"Oct 1, 2019",186494,12716.0873,561,2307.028,1161801,6.74
sF_sjFqNFUk,Interacting with a Simulink Model from a Matlab Script,"Oct 14, 2018",181913,16691.6194,1642,587.271,2590540,3.79
HgjZ21uv4lc,Garmin vivomove HR Unboxing and Setup,"Dec 27, 2018",179902,9214.8986,155,824.021,1441680,7.98
gDmpqn92s5U,2D Plotting in Matlab,"Oct 6, 2018",167044,10954.2155,1249,553.739,2070327,5.15
wb3Dq4NM3QY,Using a Memory Saver When Disconnecting Your Car Battery,"Oct 15, 2019",160343,7190.7707,268,978.663,908865,5.94
Yvgxx2vwsRY,Getting Started with Perforce and P4V,"Dec 22, 2017",158016,12484.6852,345,867.938,700056,8.35
n829SwSUZ_c,Designing a PID Controller Using the Ziegler-Nichols Method,"May 20, 2019",156933,14623.5222,2182,560.296,1961019,4.01
vOVvPd4cC2Q,Reset Power Window Limits on a Ford Vehicle,"Jan 10, 2022",137032,3040.0936,102,659.98,351753,8.66
Z_V93Ex2VFc,Seating in a 15 Passenger Ford Transit Van/Wagon: Details and Removing Rear Seats,"Oct 15, 2019",134600,14804.1476,683,1801.626,1423922,4.12
mXFDAz3S9Uk,Getting Started with Mathematica,"Sep 28, 2018",131214,13176.8377,1151,401.916,1526478,5.07
wEevt2a4SKI,Introduction to Linear Quadratic Regulator (LQR) Control,"Dec 3, 2018",126482,19130.669,2544,672.443,1466456,3.61
ZBafH5fss1E,Working with Matrices in Matlab,"Oct 4, 2018",125196,9854.2384,954,639.574,1535752,5.11
3I1_5M7Okqo,Creating Movies and Animations in Matlab,"Nov 5, 2018",113350,8533.1462,1260,364.376,1394668,4.43
RLWe8dZeuEs,Automatic Cross References in Microsoft Word,"Aug 28, 2018",98735,7657.5345,408,664.941,1263518,4.26
Hk6YBO_A_PU,Designing a PID Controller Using the Root Locus Method,"May 21, 2019",90412,10945.5675,1235,264.307,1194474,3.6
IAut5Y-Ns7g,Derivation of the 1D Wave Equation,"Nov 12, 2018",83514,7227.804,1312,271.893,809309,5.71
8NQ1h0gGgX8,Getting Started with the Matlab Support Package for Arduino Hardware,"Sep 20, 2018",81979,4662.358,505,184.839,657992,7.37
_5_LK_0H22I,Basic Operations with Perforce,"Dec 22, 2017",81505,6929.1416,177,347.096,587227,7.94
nOz3uTi20Jo,Getting Started with the Simulink Support Package for Arduino Hardware,"Sep 25, 2018",78230,5111.2377,524,149.58,716671,6.19
Cvu2zWk3gYw,Ordinary Differential Equations and Dynamic Systems in Simulink,"Oct 1, 2018",76714,7280.5273,756,324.401,1078740,3.9
Uh_-RZQIaEs,Transfer Functions: Introduction and Implementation,"Apr 8, 2019",74383,6019.5982,1263,263.413,524790,3.7
THjaxvPBGOU,Introduction to Partial Differential Equations,"Nov 11, 2018",69028,6425.8086,1379,320.637,652884,5
7y5rTbPWRRQ,How to Install DJI Fly on iOS and Android,"May 23, 2022",65900,2819.0976,155,415.941,405288,10.36
4zXO2ooYl4Y,Signatures in Microsoft Outlook Are Not Working,"Nov 12, 2018",64766,2367.5049,77,638.187,335164,7.07
lMRnTd8yLeY,Solving the 1D Wave Equation,"Nov 13, 2018",63248,10552.5459,629,346.401,814796,3.93
j-utznrXmcY,2D Plotting in Mathematica,"Oct 22, 2018",59992,3800.4454,359,257.323,535361,6.05
GpA6u3KR7EQ,Haul-Master Motorcycle Carrier from Harbor Freight,"Nov 2, 2020",58671,8022.5647,109,789.837,570775,4.57
cw7adeD1yeg,Installing Mission Planner,"Sep 2, 2018",58473,2199.0522,265,110.352,212069,9.17
veK-LVRTHpo,Installing and Using Various Hitch Anti-Rattle Mechanisms,"Jul 20, 2020",58275,4015.303,139,539.002,462796,5.87
yEk_j0E4mdw,"Peloton Bike: Purchase, Assembly/Disassembly, Setup, and First Impressions","Oct 4, 2021",58008,2524.7617,54,752.016,183792,9.92
J5jjCtIT9_8,Run a Microwave in Your Car/Van/RV Using a 12V Battery,"Aug 3, 2020",57941,4329.548,264,605.507,441513,5.43
qCgqYNhmmDE,Getting Started with LaTeX,"Sep 17, 2018",56779,4836.9809,268,192.343,915133,3.63
BxgwtIDmbh8,Broken Zipper Bottom Pin – Solved!,"Feb 27, 2023",56509,1669.9842,36,254.624,154038,8.67
